schema_name,table_name,index_name,is_unique,is_primary,index_definition,index_columns,partial_index_condition
public,club_history_milestones,idx_club_history_milestones_page,no,no,"CREATE INDEX idx_club_history_milestones_page ON public.club_history_milestones USING btree (club_history_page_id, is_active, milestone_year, sort_order)","[""CREATE INDEX idx_club_history_milestones_page ON club_history_milestones USING btree (club_history_page_id, is_active, milestone_year, sort_order)"",""club_history_page_id"",""is_active"",""milestone_year""]",null
public,club_history_pages,club_history_pages_page_key_key,yes,no,CREATE UNIQUE INDEX club_history_pages_page_key_key ON public.club_history_pages USING btree (page_key),"[""CREATE UNIQUE INDEX club_history_pages_page_key_key ON club_history_pages USING btree (page_key)""]",null
public,club_history_pages,club_history_pages_pkey,yes,yes,CREATE UNIQUE INDEX club_history_pages_pkey ON public.club_history_pages USING btree (id),"[""CREATE UNIQUE INDEX club_history_pages_pkey ON club_history_pages USING btree (id)""]",null
public,club_history_pages,idx_club_history_pages_public,no,no,"CREATE INDEX idx_club_history_pages_public ON public.club_history_pages USING btree (is_active, is_published, published_at, sort_order)","[""CREATE INDEX idx_club_history_pages_public ON club_history_pages USING btree (is_active, is_published, published_at, sort_order)"",""is_active"",""is_published"",""published_at""]",null
public,club_settings,club_settings_pkey,yes,yes,CREATE UNIQUE INDEX club_settings_pkey ON public.club_settings USING btree (id),"[""CREATE UNIQUE INDEX club_settings_pkey ON club_settings USING btree (id)""]",null
public,club_settings,club_settings_singleton_key,yes,no,CREATE UNIQUE INDEX club_settings_singleton_key ON public.club_settings USING btree (singleton),"[""CREATE UNIQUE INDEX club_settings_singleton_key ON club_settings USING btree (singleton)""]",null
public,coach_team_seasons,coach_team_seasons_coach_id_team_season_id_key,yes,no,"CREATE UNIQUE INDEX coach_team_seasons_coach_id_team_season_id_key ON public.coach_team_seasons USING btree (coach_id, team_season_id)","[""CREATE UNIQUE INDEX coach_team_seasons_coach_id_team_season_id_key ON coach_team_seasons USING btree (coach_id, team_season_id)"",""coach_id""]",null
public,coach_team_seasons,coach_team_seasons_coach_team_unique,yes,no,"CREATE UNIQUE INDEX coach_team_seasons_coach_team_unique ON public.coach_team_seasons USING btree (coach_id, team_season_id)","[""CREATE UNIQUE INDEX coach_team_seasons_coach_team_unique ON coach_team_seasons USING btree (coach_id, team_season_id)"",""coach_id""]",null
public,coach_team_seasons,coach_team_seasons_pkey,yes,yes,CREATE UNIQUE INDEX coach_team_seasons_pkey ON public.coach_team_seasons USING btree (id),"[""CREATE UNIQUE INDEX coach_team_seasons_pkey ON coach_team_seasons USING btree (id)""]",null
public,coaches,coaches_pkey,yes,yes,CREATE UNIQUE INDEX coaches_pkey ON public.coaches USING btree (id),"[""CREATE UNIQUE INDEX coaches_pkey ON coaches USING btree (id)""]",null
public,coaches,idx_coaches_admin_profile_id,no,no,CREATE INDEX idx_coaches_admin_profile_id ON public.coaches USING btree (admin_profile_id),"[""CREATE INDEX idx_coaches_admin_profile_id ON coaches USING btree (admin_profile_id)""]",null
public,coaches,uq_coaches_admin_profile_id,yes,no,CREATE UNIQUE INDEX uq_coaches_admin_profile_id ON public.coaches USING btree (admin_profile_id) WHERE (admin_profile_id IS NOT NULL),"[""CREATE UNIQUE INDEX uq_coaches_admin_profile_id ON coaches USING btree (admin_profile_id) WHERE admin_profile_id IS NOT NULL""]",(admin_profile_id IS NOT NULL)
